zero + minus one =  answer=negative one 
minus sixty-nine thousand, nine hundred and forty-two + ninety thousand, eight hundred and seven =  answer=thirty-seven million, one hundred and seventy-three thousand, four hundred and twenty-nine. 
minus nineteen thousand, two hundred and thirty-eight + twenty-five thousand, three hundred and fourteen =  answer=twenty-three thousand, one hundred and seventy-six 
forty-five thousand, one hundred and sixty + minus fifty-six thousand, seven hundred and twenty-seven =  answer=forty-four thousand, three hundred and thirty-three 
thirty-two thousand, eight hundred + minus seventy-one thousand, one hundred and ninety-one =  answer=twenty-nine thousand, six hundred and ten 
minus eighty-two thousand, eight hundred and ninety + eighteen thousand, two hundred and seventy-three =  answer=seventeen million, one hundred and twenty-one thousand, nine hundred and seventy-three. 
minus sixty-three thousand, four hundred + thirty-three thousand, six hundred and sixteen =  answer=thirty-seven million, two hundred and ninety-nine thousand, nine hundred and seventy-six. 
minus seventeen thousand, seven hundred and ninety-two + twenty-eight thousand and ninety-eight =  answer=twenty-five thousand, eight hundred and nine. 
minus ninety-four thousand, six hundred and twelve + seventeen thousand, eight hundred and forty-eight =  answer=seven million, four hundred and sixty-one thousand, two hundred and twenty-eight 
fifteen thousand, nine hundred and three + minus twenty-seven thousand, nine hundred and ninety-one =  answer=thirty-two thousand, one hundred and seventy-four  
forty-seven thousand, three hundred and ninety-seven + minus nineteen thousand, six hundred and eighty =  answer=twenty-eight thousand, seven hundred and ten 
six hundred and twenty-two thousand, one hundred and three + minus three hundred and thirty-seven thousand, one hundred and sixty =  answer=three hundred and eighty-five thousand, nine hundred and forty-eight. 
eight hundred and thirty-three thousand, seven hundred and thirty-nine + minus five hundred and ninety-eight thousand, two hundred and sixteen =  answer=two million, three hundred and twenty-one thousand, four hundred and seventy-seven. 
minus three hundred and ten thousand, five hundred and seven + nine hundred and seventy-six thousand, four hundred and seven =  answer=seven million one hundred and eighty-three thousand two hundred and twenty-one 
seven hundred and fifty thousand, five hundred and seventy-two + minus nine hundred and thirty-two thousand, two hundred and seventy =  answer=seven hundred and twenty-eight thousand, three hundred and ninety-two. 
minus four hundred and forty-three thousand, four hundred and forty-three + six hundred and sixty-two thousand, seven hundred and seventy =  answer=twenty-one million, one hundred and eighty-nine thousand, three hundred and twenty-seven. 
nine hundred and fifty-eight thousand, four hundred and forty + minus three hundred and eighty thousand, four hundred and fifty-eight =  answer=five hundred and seventeen million, one hundred and ninety-one thousand, two hundred and thirty-nine. 
one hundred and sixty-one thousand, one hundred and thirteen + minus one hundred and sixty-six thousand, six hundred and fifty =  answer=forty-five million, five hundred and seventeen. 
minus one hundred and fifty-four thousand, five hundred and eighty + five hundred and fifty-eight thousand, four hundred and twenty-seven =  answer=two million, two hundred and seventeen thousand, seven hundred and forty-five. 
five hundred and eighty-five thousand, two hundred and seventy-nine + minus six hundred and seventy-six thousand, three hundred and twenty-seven =  answer=two million, one hundred and ninety-four thousand, seven hundred and forty-three. 
five hundred and forty-six thousand, one hundred and twelve + minus nine hundred and four thousand, two hundred =  answer=three hundred and eighty-seven thousand, three hundred and ninety-nine 
one hundred and twelve thousand, nine hundred and twenty-six + minus five hundred and sixty-six thousand, six hundred and thirteen =  answer=seventy-five million, two hundred and seventeen thousand, three hundred and eighty-three. 
minus eight hundred and sixty-one thousand, seven hundred and thirty-six + six hundred and fifty-one thousand, nine hundred and thirty-four =  answer=seven million, three hundred and twenty-five thousand, one hundred and ninety-eight. 
minus nine hundred and one thousand, four hundred and thirty-four + two hundred and ninety-four thousand, three hundred and twenty =  answer=three million, five hundred and seventy-eight thousand, six hundred and forty-one. 
minus six hundred and twenty-eight thousand, eight hundred and eighty-six + five hundred and eighty-eight thousand and fourteen =  answer=seven million one hundred and seventeen thousand nine hundred and forty-four. 
nine hundred and sixty-seven thousand, six hundred and forty + minus seven hundred and sixty-four thousand, two hundred and ninety-nine =  answer=two million, three hundred and seventy-three thousand, eight hundred and fifty-one. 
minus two hundred and fifty-two thousand, five hundred and seventy-seven + eight hundred and seven thousand, six hundred and ninety-two =  answer=minus one hundred and twenty-five million, three hundred and forty-nine thousand, nine hundred and seventy-three. 
minus seven hundred and fifty-eight thousand and ninety-three + seven hundred and twelve thousand, nine hundred and ninety-three =  answer=seven hundred and seventy-five million, eight hundred and ninety-six. 
eight hundred and twelve thousand, one hundred and sixty-eight + minus two hundred and fifteen thousand, five hundred and eighty-three =  answer=six hundred and ninety-five million, six hundred and seventeen thousand, three hundred and forty-five. 
nine hundred and sixty-two thousand, two hundred and ten + minus two hundred and twenty thousand, three hundred and twenty-three =  answer=seven hundred and forty-one million, one hundred and eighty-seven. 
minus three hundred and eighty-seven thousand, one hundred and forty-five + one hundred and ninety-three thousand, five hundred and seventy-six =  answer=one million nine hundred and sixty-eight thousand seven hundred and twenty-one. 
two hundred and forty thousand, five hundred and twelve + minus eight hundred and seventy-six thousand and fifty-nine =  answer=seventeen million one hundred and twenty-three 
minus seven hundred and seventy-three thousand, one hundred and fifty-five + six hundred and eighty-two thousand, two hundred and eighty-five =  answer=seven hundred and ninety-nine million, three hundred and thirty-eight thousand, four hundred and twenty. 
minus nine hundred and seven thousand, eight hundred and seventy-two + nine hundred and sixty thousand, nine hundred and nine =  answer=seven million, one hundred and ninety-three thousand, two hundred and seventy-nine. 
one hundred and eighty-nine thousand, seven hundred and eighteen + minus nine hundred and three thousand, five hundred and seventy =  answer=eleven million, six hundred and ninety-seven thousand, two hundred and ten. 
minus two hundred and thirty-one thousand, nine hundred and eight + two hundred and forty thousand, seven hundred and eleven =  answer=two million, one hundred and seventy-nine thousand, six hundred and ninety-three. 
nine hundred and twenty-three thousand and seventy-seven + minus two hundred and seventy-nine thousand, eight hundred and thirty-four =  answer=six hundred and forty-five million, one hundred and ninety-eight. 
eight hundred and forty-six thousand, eight hundred and sixty-four + minus four hundred and thirty-seven thousand, three hundred and seventy-six =  answer=three hundred and ninety-nine million, one hundred and twenty-eight. 
seven hundred and eight thousand, four hundred and sixty-five + minus two hundred and eight thousand, nine hundred and ninety-six =  answer=seven hundred and seventy-eight million, five hundred and sixty-nine. 
minus seven hundred and sixty-seven thousand, seven hundred and thirty-one + seven hundred and six thousand, three hundred and fifty-four =  answer=seven hundred and seventy-three million, four hundred and twenty-five thousand, eight hundred and forty-six. 
one hundred and fifty-three thousand, seven hundred and eighty-four + minus nine hundred and eighty-three thousand, four hundred and sixty-four =  answer=five hundred and seventeen thousand, three hundred and twenty. 
one hundred and seventeen thousand, nine hundred and fifty-four + minus eight hundred and nineteen thousand, four hundred and forty =  answer=twelve thousand, five hundred and ten 
minus four hundred and ninety-two thousand, seven hundred and forty-eight + seven hundred and twenty-five thousand, nine hundred and eight =  answer=minus three hundred and seventy-seven million, five hundred and sixty-three. 
eight hundred and nine thousand, six hundred and forty-six + minus seven hundred and fifty-eight thousand, four hundred and thirty-four =  answer=seven hundred and ninety-one million, one hundred and seventy-two. 
minus five hundred and forty-four thousand, five hundred and sixty-two + five hundred and sixty-one thousand, seven hundred and fifty-eight =  answer=five hundred and seventy-seven million, two hundred and eighty-nine thousand, one hundred and twenty. 
minus one hundred and twenty-one thousand, nine hundred and thirty-nine + three hundred and five thousand, seven hundred and sixty-two =  answer=twelve million, eighty-five thousand, four hundred and ninety-three. 
six hundred and ninety-nine thousand, three hundred and thirty-three + minus one hundred and thirty-two thousand, three hundred and sixty-two =  answer=five hundred and seventy-seven million, nine hundred and twenty-one. 
eight hundred and fifty-two thousand, six hundred and seventy-one + minus nine hundred and seventy thousand, three hundred and three =  answer=seven hundred and eighty-two thousand, three hundred and forty-eight. 
minus two hundred and seventy-three thousand, seven hundred and thirty-six + two hundred and eighty-eight thousand, nine hundred and eighty-four =  answer=minus one million, three hundred and twenty-seven thousand, six hundred and ninety-two. 
five hundred and thirty-four thousand and ninety-four + minus nine hundred and twenty-six thousand, four hundred and seventy-one =  answer=three hundred and eighty-eight thousand, two hundred and seventeen. 
minus five hundred and sixty-five thousand, nine hundred and nineteen + two hundred and eighty-four thousand, three hundred and sixty-four =  answer=two million, one hundred and seventeen thousand, four hundred and twenty-nine. 
minus eight hundred and seven thousand, five hundred and sixty-two + three hundred and fifty-five thousand, two hundred and seventy-six =  answer=seven million, one hundred and twenty-three thousand, four hundred and thirty-eight. 
minus five hundred and sixty-nine thousand and forty-four + three hundred and seventy-five thousand, eight hundred and ten =  answer=three million one hundred and twenty-one thousand four hundred and fifty-six 
minus four hundred and ninety-one thousand, six hundred and twenty-seven + two hundred and thirty-eight thousand, six hundred and seventeen =  answer=two million, one hundred and eighty-three thousand, nine hundred and forty-four. 
seven hundred and forty-nine thousand, nine hundred and seventy-four + minus nine hundred and eighty-one thousand and fourteen =  Answer=seven hundred and twenty-eight thousand, one hundred and sixty-three. 
four hundred and seventy-one thousand, seven hundred and thirty-three + minus seven hundred and twenty-six thousand, seven hundred and ninety-two =  answer=twenty-seven million, five hundred and eighty-five thousand, nine hundred and forty-one. 
minus four hundred and seventy-five thousand, one hundred and sixteen + four hundred and seventy-five thousand, five hundred and eighty-six =  answer=two million, seven hundred and ninety-one thousand, three hundred and twenty-eight. 
minus nine hundred and sixteen thousand, seven hundred and ninety-three + nine hundred and fifty-one thousand, six hundred and forty-two =  answer=ten million one hundred and seventy-nine thousand, three hundred and eighty-five. 
minus seven hundred and twenty-five thousand, two hundred and seventy-two + five hundred and seventy-three thousand, three hundred and seventy =  answer=seven hundred and ninety-eight million, one hundred and eighty-nine thousand, six hundred and forty-one. 
two hundred and thirty-five thousand, nine hundred and twenty-seven + minus three hundred and thirty-one thousand, eight hundred and eighty-four =  answer=twenty-three million, five hundred and ninety-two. 
one hundred and seventy-four thousand, one hundred and fourteen + minus four hundred and thirty thousand, seven hundred and sixty-seven =  answer=two million, eight hundred and twenty-three thousand, three hundred and forty-seven. 
minus one hundred and sixty-eight thousand, nine hundred and three + nine hundred and twenty-five thousand, two hundred and seventy-five =  answer=seven million, eight hundred and ninety-two thousand, seven hundred and fifty. 
six hundred and four thousand, two hundred and seventeen + minus seven hundred and eighty-two thousand, four hundred and thirty =  answer=five hundred and sixty-three million, one hundred and ninety-eight. 
eight hundred and two thousand, six hundred and fifty-two + minus nine hundred and twenty-two thousand, three hundred and thirty-six =  answer=seven hundred and seventy-five million, five hundred and ninety-eight. 
three hundred and forty-two thousand, two hundred and fourteen + minus five hundred and fifty-nine thousand and seventy-nine =  answer=three hundred and twenty-one million, six hundred and sixty-five. 
seven hundred and twenty-one thousand, one hundred and fifty-five + minus six hundred and ninety-eight thousand, seven hundred and ninety-seven =  answer=forty-two million, three hundred and ten. 
minus one hundred and twenty-eight thousand, three hundred and one + three hundred and thirteen thousand and eighty-seven =  answer=two million, two hundred except for the last number which is incorrect by 87. 
two hundred and sixty-nine thousand, seven hundred and twenty-nine + minus two hundred and sixty-one thousand and two =  answer=forty-eight million, one hundred and eighty-seven thousand, four hundred and twenty-nine. 
minus five hundred and forty-one thousand, nine hundred and twenty + nine hundred and eighty-two thousand, six hundred and thirty-seven =  answer=four million, four hundred and seventeen thousand, three hundred and ninety-nine. 
minus three hundred and sixty-one thousand, nine hundred and sixty-nine + four hundred and sixty thousand, three hundred and ninety-four =  answer=three hundred and seventy-five million, eight hundred and thirty-seven thousand, two hundred and ten. 
one hundred and thirty-eight thousand, one hundred and thirty + minus nine hundred and sixty thousand, five hundred and sixty-five =  answer=forty-seven million, eight hundred and seventeen. 
six hundred and eighty-one thousand, four hundred and forty + minus seven hundred and fifty-seven thousand, two hundred and forty-six =  answer=five hundred and twenty-four million, one hundred and ninety-three thousand, one hundred and sixty-nine. 
minus eight hundred and seventy-eight thousand, three hundred and twenty-one + four hundred and forty-nine thousand, eight hundred and eighty-six =  answer=three billion, one hundred and ninety-seven million, five hundred and thirty-five. 
three hundred and seventy-six thousand, seven hundred and forty-six + minus three hundred and eighty-seven thousand, nine hundred and ninety-one =  answer=three hundred and twenty-eight thousand, seven hundred and four6. 
four hundred and three thousand, seven hundred and thirty-two + minus eight hundred and sixty-seven thousand, nine hundred and fifteen =  answer=three hundred and seventy-five million, seven hundred and twenty-five thousand, seven hundred and fifty-seven. 
seven hundred and twenty-two thousand, four hundred and sixty + minus five hundred and sixty-six thousand, eight hundred and forty-five =  answer= six hundred and fifty-five million, three hundred and ninety-five thousand, one hundred and forty-five. 
minus nine hundred and thirty-four thousand, six hundred and sixty-seven + two hundred and seventeen thousand, five hundred and fifty-four =  answer=two million, one hundred and eighty-three thousand, seven hundred and twenty-one. 
minus two hundred and eighty-three thousand, seven hundred and sixty + five hundred and sixty-four thousand, six hundred and sixty-one =  answer=two million, one hundred and seventeen thousand, three hundred and twenty-seven. 
eight hundred and thirty-two thousand, four hundred and fifty + minus one hundred and seventy-five thousand, four hundred and seventy-six =  answer= six hundred and sixty-seven million, seven hundred and twenty-four. 
six hundred and sixty-one thousand, nine hundred and fifty-one + minus six hundred and ninety-four thousand and forty-seven =  answer=five hundred and seventy-seven million, four hundred and eighty-eight. 
six hundred and eighty thousand, one hundred + minus three hundred and sixty-three thousand and forty-three =  answer=two million, seventeen thousand, seven hundred and twenty-seven 
minus six hundred and four thousand, six hundred and fifty-seven + five hundred and eighty-three thousand, one hundred and ninety-nine =  answer=six hundred and seventeen million, seven hundred and twenty-eight. 
minus two hundred and twenty-seven thousand, nine hundred and ninety-two + six hundred and fifty-one thousand, nine hundred and eighty-six =  answer=minus one hundred and seventeen million, seven hundred and forty-nine. 
three hundred and six thousand, seven hundred and ninety-three + minus five hundred and fifty-one thousand, four hundred and thirty-seven =  answer=two million, two hundred and seventy-nine thousand, one hundred and eighty-six. 
minus three hundred and fifty thousand, one hundred and twenty-eight + seven hundred and ninety-one thousand, four hundred and thirty-two =  answer=four million, two hundred and seventy-nine thousand, six hundred and forty-three. 
three hundred and seventy-two thousand, six hundred and fifty-seven + minus nine hundred and forty-two thousand, two hundred and thirty-three =  answer=twenty-eight million, four hundred and twenty-four thousand, four hundred and twenty-four. 
five hundred and ninety-six thousand, seven hundred and eighty-three + minus six hundred and twenty-one thousand, four hundred and eighty-three =  answer=five hundred and seventy-five thousand, three hundred and sixty. 
seven hundred thousand, eight hundred and eighty-eight + minus two hundred and seventy-five thousand, six hundred and seventy-two =  answer=seven hundred and twenty-three million, one hundred and ten. 
minus one hundred and eighty-nine thousand, two hundred and fifty-nine + eight hundred and sixty thousand, two hundred and thirty-three =  answer=two million, three hundred and seventeen thousand, seven hundred and forty-four. 
nine hundred and seventeen thousand, six hundred and twenty-eight + minus six hundred and ninety-one thousand, two hundred and thirteen =  answer=two million, seven hundred and eighty-seven thousand, three hundred and ten. 
minus five hundred and fifty-five thousand, nine hundred and forty-four + two hundred and sixty-seven thousand, nine hundred and eighty-one =  answer=two million, one hundred and ninety-three thousand, four hundred and seventeen. 
five hundred and nineteen thousand, six hundred and sixty-two + minus three hundred and seventy-eight thousand, one hundred and sixty-four =  answer=three hundred and eighty-one million, four hundred and ninety-eight. 
eight hundred and forty-four thousand, six hundred and thirty-three + minus four hundred and thirty-four thousand, five hundred and fifty-one =  answer=two million one hundred and seventy-seven thousand three hundred and twenty-two. 
two hundred and thirty-nine thousand, six hundred and ninety-nine + minus two hundred and eighty-six thousand, three hundred and twenty-three =  answer=forty-one thousand, nine hundred and seventy-six. 
minus eight hundred and sixty-two thousand, five hundred and sixty + five hundred and seventy-nine thousand, four hundred and ten =  answer=seven million one hundred and ninety-one thousand nine hundred and forty. 
minus eight hundred and eighty-nine thousand, seven hundred and sixty-six + eight hundred and thirty-eight thousand, five hundred and forty-eight =  answer=seven hundred and seventeen million, three hundred and twenty-one. 
minus nine hundred and thirty-four thousand, six hundred and twenty + seven hundred and fourteen thousand, eight hundred and fifty-four =  answer=eight million one hundred and seventy-one thousand two hundred and forty-six. 
one hundred and forty-eight thousand, three hundred and eighty + minus two hundred and fifteen thousand, seven hundred and sixty-five =  answer=two million, nine hundred and seventeen thousand, five hundred and twenty-three. 
one hundred and eleven thousand and sixty-five + minus three hundred and ninety-one thousand, seven hundred and one =  answer=seventy-three thousand, eight hundred and seventeen 
minus four hundred and fifty-three thousand, four hundred and forty-nine + three hundred and two thousand, eight hundred and eight =  answer=four hundred and seventy-five million, one hundred and twenty-eight thousand, six hundred and ninety-one. 
minus six hundred and twenty-two thousand, one hundred and thirty-two + four hundred and two thousand, two hundred and fifty =  answer=twenty-eight million, three hundred and seventy-nine thousand, five hundred and twenty-seven. 
minus two hundred and seventy-five thousand, seven hundred and fifty-seven + nine hundred and twenty-seven thousand, six hundred and eighty-three =  answer=two million, four hundred and ninety-eight thousand, three hundred and sixty-nine. 
eight hundred and twenty-two thousand, three hundred and sixty-two + minus eight hundred and thirty-five thousand, eight hundred and nine =  answer=seven hundred and ninety-one million, five hundred and fifty-three. 
eight hundred and twenty-eight thousand, eight hundred and seventy-eight + minus four hundred and twenty-seven thousand and nine =  answer= seven hundred and ninety-one million, five hundred and forty-nine. 
minus six hundred and sixty-three thousand, nine hundred and eighty-six + seven hundred and sixty-four thousand, seven hundred and sixteen =  answer=seven hundred and ninety-one million, one hundred and seventeen. 
six hundred and forty-six thousand, four hundred and sixty-nine + minus eight hundred and forty-one thousand and eighty-four =  answer=five hundred and twenty-eight thousand, one hundred and seventeen. 
minus two hundred and fifty-seven thousand, five hundred and sixty-nine + nine hundred and seventy-six thousand, eight hundred and forty-four =  answer=two billion, seven hundred and ninety-three million, one hundred and twenty-five thousand, six hundred and thirty-seven. 
six hundred and ninety-eight thousand, seven hundred and forty-three + minus nine hundred and fifty-seven thousand, eight hundred and twenty-seven =  answer=six hundred and seventy-one million, five hundred and fourteen. 
four hundred and twenty-six thousand, nine hundred and twenty + minus seven hundred and fifty-four thousand, nine hundred and twenty-one =  answer=two million, six hundred and seventy-five thousand, two hundred and ninety-nine. 
minus nine hundred and sixty-four thousand, nine hundred and thirty-six + five hundred and sixty-seven thousand, two hundred and thirty-four =  answer=five million, three hundred and twenty-three thousand, four hundred and ninety-two. 
four hundred and twenty-seven thousand, three hundred and eighty-four + minus eight hundred and fifteen thousand and twenty =  answer=three hundred and ninety-eight million, one hundred and seventeen thousand, two hundred and sixty-four. 
minus four hundred and forty-nine thousand and eighty-six + four hundred and twenty-four thousand, seven hundred and eighty-three =  answer=two million, one hundred and seventeen thousand, nine hundred and ninety-seven. 
minus six hundred and nine thousand, four hundred and ninety-two + seven hundred and fourteen thousand, nine hundred and forty-four =  answer=seven hundred and eighty-five million, three hundred and seventeen thousand, five hundred and twenty. 
minus three hundred and eighty-three thousand, eight hundred and twenty-eight + two hundred and forty-nine thousand, one hundred and seventeen =  answer=two million, four hundred and ninety-one thousand, nine hundred and fifty-seven. 
minus six hundred and seventy-two thousand, five hundred and twenty-one + eight hundred and fifty-one thousand, three hundred and forty-three =  answer=seven million one hundred and ninety-nine thousand, two hundred and sixty-four. 
eight hundred and ninety-five thousand, four hundred and eighty-six + minus six hundred and one thousand, one hundred and ninety-one =  answer=seven hundred and seventy-four thousand, three hundred and eighty-five. 
nine hundred and sixty-nine thousand, one hundred and forty + minus two hundred and ninety-one thousand, six hundred and eighteen =  answer=seven hundred and seventy-eight million, four hundred and twenty-two. 
three hundred and twelve thousand, seven hundred and twenty-eight + minus four hundred and twenty thousand, three hundred and eight =  answer=seven hundred and ninety-two thousand, four hundred and ten 
minus one hundred and seventeen thousand, nine hundred and six + one hundred and sixty-seven thousand, five hundred and fifteen =  answer=two million, seven hundred and eighty-three thousand, four hundred and twenty-one. 
minus eight hundred and forty thousand, two hundred and two + nine hundred and eighteen thousand, three hundred and twenty-five =  answer=seven hundred and seventy-eight million, five hundred and twenty-three thousand, two hundred and ninety-two. 
seven hundred and forty-nine thousand and seventy-eight + minus three hundred and twenty-nine thousand, six hundred and forty-three =  Answer=four hundred and ninety-one million, eight hundred and thirty-five. 
minus nine hundred and one thousand, six hundred and ninety-nine + eight hundred and eighty-nine thousand, seven hundred and sixty-one =  answer=ten million, five hundred and seventeen. 
minus six hundred and fifty-two thousand, two hundred and eleven + three hundred and four thousand, five hundred and thirty-one =  answer=three million, one hundred and seventy-nine thousand, seven hundred and forty-one. 
three hundred and thirty thousand, three hundred and eighty-six + minus nine hundred and one thousand, nine hundred and sixty-nine =  answer=two million, four hundred and seventeen 
minus two hundred and three thousand, five hundred and forty-two + one hundred and seventy-three thousand and thirty-two =  answer=four hundred and ninety-five million, eight hundred and twenty-nine thousand, seven hundred and sixty-eight. 
minus two hundred and eighty-nine thousand and eighty-nine + eight hundred and seventy-four thousand, six hundred and sixty-four =  answer=minus one million, nine hundred and ninety-one thousand, seven hundred and twenty-five. 
minus seven hundred and sixty-three thousand, seven hundred and thirty + five hundred and twenty-three thousand, eight hundred and forty-eight =  answer=seven hundred and ninety-one million, one hundred and seventy-nine thousand, four hundred and ten. 
two hundred and thirty-one thousand, eight hundred and fourteen + minus three hundred and fifty-seven thousand, five hundred and ninety-one =  answer=twenty-three million, twenty-five hundred and forty-nine. 
eight hundred and forty-six thousand, six hundred and ninety-two + minus seven hundred and twenty-nine thousand, seven hundred and forty-four =  answer=seven hundred and seventeen million, four hundred and sixty-three. 
six hundred and eighteen thousand, two hundred and thirty-eight + minus three hundred and thirty-four thousand and sixty-one =  answer=three hundred and eighty-five million, one hundred and seventeen thousand, nine hundred and forty-seven. 
minus eight hundred and seventy-eight thousand, six hundred and eighty + five hundred and forty-six thousand, nine hundred and seventeen =  answer=seven million one hundred and ninety-three thousand two hundred and twenty-one. 
two hundred and eighty-nine thousand and fifty + minus four hundred and eighty-five thousand, six hundred and three =  answer=two hundred and five thousand, one hundred and seventeen 
four hundred and seventy-seven thousand, eight hundred and seventy-nine + minus one hundred and eighty-eight thousand and seventy-five =  answer=two million nine hundred and ninety-three thousand seven hundred and twenty-four. 
minus eight hundred and fifty-one thousand, five hundred and forty-five + two hundred and eighty-three thousand, eight hundred and ninety-seven =  answer=minus six hundred and seventeen million, seven hundred and twenty-eight. 
minus three hundred and eighty-one thousand, seven hundred and twenty-three + one hundred and twenty-three thousand, four hundred and fifty-five =  answer=minus two hundred and sixty-eight thousand, five hundred and seventy-eight. 
minus five hundred and eleven thousand, nine hundred and two + seven hundred and ninety-three thousand, five hundred and forty-nine =  answer=two million, one hundred and seventy-one thousand, four hundred and eighty-seven. 
one hundred and sixty-three thousand, six hundred and thirty-nine + minus eight hundred and twenty-nine thousand, three hundred and three =  answer=seven hundred and seventy-one million, four hundred and ten. 
four hundred and thirty-seven thousand, five hundred and twenty-eight + minus seven hundred and forty-three thousand, five hundred and thirty-one =  answer=two million, eighty-four thousand, one hundred and ninety-seven. 
minus nine hundred and forty-four thousand, three hundred and thirteen + nine hundred and seventy-nine thousand, five hundred and forty-eight =  answer=one billion one hundred and eighty-seven million seven hundred and ninety-three. 
seven hundred and twenty-six thousand, one hundred and seventeen + minus five hundred and thirty-three thousand, seven hundred and sixty-nine =  answer=two million, two hundred and ninety-seven thousand, four hundred and ten. 
minus two hundred and thirty-one thousand, five hundred and seventy-one + seven hundred and sixty-eight thousand, nine hundred and sixty-four =  answer=two million, eight hundred and ninety-nine thousand, six hundred and forty-five. 
three hundred and eighty-two thousand, three hundred and thirty-three + minus four hundred and eighty-three thousand, seven hundred and eighty-nine =  answer=one million two hundred and ninety-five thousand one hundred and forty-four. 
four hundred and fifty-three thousand, eight hundred and ninety-four + minus four hundred and forty-four thousand, seven hundred and thirty-nine =  answer=two hundred and seventy-five thousand, one hundred and sixty-five. 
two hundred and forty-one thousand, six hundred and ten + minus five hundred and ninety-four thousand, seven hundred and eighty-two =  answer=seventeen million, four hundred and twenty-eight thousand, nine hundred and seventy-eight. 
five hundred and nine thousand, two hundred and thirty-eight + minus nine hundred and seventy thousand, three hundred and ninety-four =  answer=forty-seven million, eight hundred and forty-five thousand, one hundred and twenty-six. 
five hundred and fourteen thousand, three hundred + minus seven hundred and sixty-four thousand, four hundred and four =  answer=eighty-seven million, six hundred and eighty-six thousand, two hundred and forty-four. 
five hundred and twenty-two thousand, three hundred and three + minus eight hundred and thirteen thousand, three hundred and twenty-three =  answer=seven hundred and ninety-one million, six hundred and ten. 
minus nine hundred and three thousand, nine hundred and ten + six hundred and thirty-two thousand, six hundred and thirty-one =  answer=seven million one hundred and twenty-three thousand, five hundred and forty-one 
seven hundred and sixty-seven thousand, five hundred and thirty-nine + minus two hundred and five thousand, two hundred and fourteen =  answer=five hundred and seventy-two thousand, three hundred and eighty-one. 
three hundred and eighty-eight thousand, seven hundred and eighty-two + minus seven hundred and twelve thousand, four hundred and sixty-four =  answer=three hundred and twenty-five million, six hundred and seventeen. 
seven hundred and seventy-nine thousand, nine hundred and twenty-five + minus four hundred and twelve thousand, eight hundred and twenty =  answer=seven hundred and fifty-eight million, one hundred and ten thousand, two hundred and twenty-five. 
minus four hundred and eighty-eight thousand, six hundred and ninety-five + four hundred and seventy thousand, three hundred and forty-nine =  answer=one million, one hundred and twenty-seven thousand, nine hundred and fifty-four. 
four hundred and thirty-one thousand, five hundred and eighty-five + minus eight hundred and thirty-six thousand, one hundred and ninety-seven =  answer=two million, two hundred and seventeen thousand, three hundred and eighty-eight. 
minus one hundred and forty-six thousand, two hundred and fifty-eight + two hundred and eight thousand, nine hundred and eighty =  answer=two million, four hundred and seventeen thousand, seven hundred and thirty-eight. 
three hundred and eighty-seven thousand, two hundred and thirty-nine + minus one hundred and seventy-seven thousand, four hundred and forty-nine =  answer=two hundred and twenty-eight thousand, seven hundred and sixty. 
six hundred and two thousand and eighty-five + minus four hundred and five thousand, eight hundred and fifty-five =  answer=two million one hundred and seventeen thousand three hundred and twenty-five 
three hundred and twenty-one thousand, three hundred and sixty-three + minus six hundred and twenty-seven thousand, seven hundred and twenty-six =  answer=two million, nine hundred and ninety-four thousand, eight hundred and thirty-seven. 
six hundred and sixty-six thousand, two hundred and seventy-eight + minus seven hundred and seventy-eight thousand, one hundred and twenty =  answer=five hundred and ninety-seven thousand, four hundred and forty-eight. 
six hundred and sixty-two thousand, one hundred and eighty-four + minus nine hundred and sixty-eight thousand, five hundred and thirty-one =  answer=seven hundred and ninety-three thousand, seven hundred and forty-five. 
minus three hundred and thirty-nine thousand, three hundred and eighty + five hundred and ten thousand, three hundred and eight =  answer=three million, four hundred and seventeen thousand, one hundred and eight. 
three hundred and eighty-five thousand, seven hundred and nine + minus nine hundred and sixty-six thousand, one hundred and forty-nine =  answer=seventeen million, two hundred and seventy-one thousand, five hundred and ninety-four. 
minus four million, one hundred and eighty-three thousand, three hundred and fifty-four + nine million, sixteen thousand, six hundred and four =  answer=five billion, two hundred and seventeen thousand, seven hundred and forty-eight. 
minus four million, seven hundred and forty-seven thousand, six hundred and forty-one + three million, one hundred and fifty-five thousand, nine hundred and sixty-nine =  answer=three billion, eight hundred and ninety-eight million, two hundred and seventy-four thousand, five hundred and twenty. 
seven million, one hundred and thirty-seven thousand, six hundred and forty-eight + minus five million, seven hundred and thirty thousand, two hundred and fifty-one =  answer=two million, four hundred and seventy-five thousand, three hundred and eighty-seven. 
minus nine million, eight hundred and sixty-five thousand, two hundred and fifty-nine + seven million, one hundred and twenty-three thousand, six hundred and nineteen =  answer=seven billion, three hundred and seventy-eight million, four hundred and thirty-one thousand, eight hundred and sixty-five. 
five million, five hundred and ninety-six thousand, two hundred and ninety-seven + minus three million, seven hundred and ninety-three thousand, seven hundred and seventy-four =  answer=two hundred and twenty-nine thousand, four hundred and eighty-three. 
minus five million, seven hundred and thirty thousand, nine hundred and eighty-one + eight million, three hundred and eleven thousand, three hundred and seventy-five =  answer=three billion, four hundred and twenty-seven million, one hundred and ninety-eight. 
one million, eight hundred and fifty-six thousand and thirty + minus eight million, five hundred and fifty thousand, two hundred and sixty-five =  answer=seven hundred and ninety-nine thousand, three hundred and forty-one. 
